name,Last Commit Date,Total Commits (since inception),Avg Commits/Weekday (Mon–Fri)
PaulJuliusMartinez/jless,2024-06-01,276,0.24
zip-rs/zip-old,2024-05-10,762,0.22
RazrFalcon/cargo-bloat,2024-05-10,178,0.08
std-microblock/BetterNCM-Installer,2024-05-02,78,0.05
jetli/rust-yew-realworld-example-app,2024-05-01,222,0.15
dropbox/fast_rsync,2024-04-18,50,0.03
solidiquis/erdtree,2024-03-26,757,1.19
dtolnay/serde-yaml,2024-03-25,947,0.3
lunatic-solutions/submillisecond,2024-03-18,261,0.51
glotlabs/gdrive,2024-02-01,157,0.31
swanandx/lemmeknow,2024-02-01,115,0.14
knurling-rs/probe-run,2024-01-30,904,0.96
frondeus/test-case,2024-01-05,172,0.08
ebkalderon/tower-lsp,2024-01-05,591,0.4
http-rs/tide,2024-01-05,1295,0.72
lemunozm/termchat,2023-11-27,72,0.07
rust-lang/rustfix,2023-11-22,379,0.15
paritytech/jsonrpc,2023-10-26,772,0.34
RazrFalcon/pico-args,2023-10-19,73,0.04
aripiprazole/rinha-de-compiler,2023-10-04,361,10.1
chipsenkbeil/distant,2023-09-16,371,0.45
jonhoo/bus,2023-09-09,179,0.04
jonhoo/left-right,2023-09-09,405,0.14
dalek-cryptography/ed25519-dalek,2023-08-12,484,0.22
a8m/pb,2023-08-08,220,0.07
ZenGo-X/multi-party-ecdsa,2023-08-07,316,0.16
fdehau/tui-rs,2023-08-06,544,0.15
m1guelpf/auto-commit,2023-06-26,19,0.1
mrdimidium/nanoid,2023-06-17,120,0.05
ozkriff/zemeroth,2023-06-09,878,0.34
linebender/runebender,2023-06-06,314,0.25
matthiaskrgr/cargo-cache,2023-06-04,1566,0.81
fitzgen/generational-arena,2023-05-22,90,0.06
suptejas/fleet,2023-04-13,152,0.35
ferrilab/bitvec,2023-04-12,545,0.37
0x192/universal-android-debloater,2023-04-10,314,0.38
RustAudio/vst-rs,2023-03-13,406,0.14
m4b/bingrep,2023-02-06,131,0.05
TaKO8Ki/gobang,2023-01-25,128,0.21
kognise/arpchat,2023-01-24,61,0.28
akula-bft/akula,2022-11-30,723,1.12
redox-os/orbtk,2022-10-13,2289,1.1
zhxie/pcap2socks,2022-10-08,306,0.37
mufeedvh/moonwalk,2022-10-08,19,0.06
toml-rs/toml-rs,2022-09-23,626,0.24
p-e-w/savage,2022-09-08,50,0.13
chiselstrike/chiselstore,2022-09-02,46,0.19
rust-lang/rls,2022-08-29,2409,1.21
llogiq/mutagen,2022-07-29,324,0.21
suptejas/volt,2022-07-11,907,2.06
avr-rust/ruduino,2022-06-29,109,0.06
japaric/xargo,2022-06-16,487,0.19
http-rs/surf,2022-05-10,304,0.36
bodil/im-rs,2022-04-29,486,0.31
racer-rust/racer,2022-04-08,1849,0.64
sciter-sdk/rust-sciter,2022-02-21,380,0.2
bodil/vgtk,2022-02-16,172,0.16
rust-lang/datafrog,2022-01-20,136,0.13
bastion-rs/bastion,2022-01-07,606,0.69
KOBA789/relly,2021-12-08,22,0.12
Rigellute/spotify-tui,2021-11-17,1272,1.8
hora-search/hora,2021-10-23,65,0.26
amethyst/legion,2021-10-03,673,0.64
davidpdrsn/todo-or-die,2021-09-17,15,0.58
softprops/shiplift,2021-09-01,459,0.19
rhysd/kiro-editor,2021-08-27,396,0.54
Fullstop000/wickdb,2021-08-21,291,0.36
lmt-swallow/puppy-browser,2021-08-09,24,0.18
rajasekarv/vega,2021-06-29,416,0.6
willdoescode/nat,2021-05-28,233,1.06
async-raft/async-raft,2021-05-27,199,0.33
telegram-rs/telegram-bot,2021-05-20,612,0.24
heim-rs/heim,2021-04-08,310,0.44
bheisler/iai,2021-02-25,30,0.13
riker-rs/riker,2021-01-09,155,0.2
cjbassi/ytop,2020-08-29,230,0.53
zargony/fuse-rs,2020-07-29,454,0.18
dotenv-rs/dotenv,2020-06-26,234,0.13
nvzqz/static-assertions,2020-02-11,288,0.23
tokio-rs/rdbc,2020-01-19,139,3.42
